Country,Year,Revenue_Social_Contribution,Revenue_Taxes_Indirect,Revenue_Total,Revenue_Taxes_Direct,Revenue_Capital_Transfers,Revenue_Others
Germany,1991,258.232,155.939,689.615,194.25,4.853,76.34100000000001
Germany,1992,283.822,168.391,764.679,215.148,5.398,91.91999999999999
Germany,1993,301.002,179.394,794.517,215.403,6.071,92.647
Germany,1994,323.853,195.484,841.289,218.456,6.739,96.757
Germany,1995,344.172,196.847,870.238,226.202,9.49799999999999,93.519
Germany,1996,360.45,197.612,885.563,227.385,7.675,92.441
Germany,1997,373.386,200.628,899.509,227.39,8.06,90.045
Germany,1998,376.953,208.114,923.01,240.038,8.686,89.21900000000001
Germany,1999,382.338,223.572,968.416,255.926,8.795,97.785
Germany,2000,382.754,229.381,986.936,268.002,7.982,98.81700000000001
Germany,2001,388.615,233.418,977.627,242.701,8.156,104.737
Germany,2002,394.307,235.394,981.788,237.263,8.28799999999999,106.536
Germany,2003,401.896,240.978,1001.289,237.799,15.835,104.781
Germany,2004,401.602,239.835,998.635,238.163,16.125,102.91000000000001
Germany,2005,401.237,242.581,1011.597,248.531,9.52999999999999,109.718
Germany,2006,405.332,252.846,1056.69,276.839,9.116,112.557
Germany,2007,404.635,278.208,1110.816,300.062,9.856,118.055
Germany,2008,412.551,283.315,1143.471,314.031,9.443,124.131
Germany,2009,415.558,286.922,1125.612,281.351,9.633,132.148
Germany,2010,426.49,287.084,1143.087,280.778,9.601,139.13400000000001
Germany,2011,442.622,309.27,1220.989,306.013,10.436,152.648
Germany,2012,454.584,315.623,1260.986,326.393,11.126,153.26000000000002
Germany,2013,465.363,325.968,1298.112,340.391,10.518,155.87199999999999
Germany,2014,482.336,337.783,1350.164,353.543,12.431,164.07100000000003
Germany,2015,501.157,349.818,1401.532,371.654,13.218,165.685
Germany,2016,524.258,359.16,1465.493,397.057,16.269,168.749
Germany,2017,549.481,371.778,1529.123,421.401,11.449,175.014
Germany,2018,572.583,381.4,1597.996,444.667,14.087,185.259
Germany,2019,598.227,394.384,1657.565,457.903,13.31,193.741
Germany,2020,608.093,371.274,1612.652,428.972,15.058,189.255
Germany,2021,632.221,411.025,1747.866,486.556,19.321,198.74300000000002
Germany,2022,667.138,431.742,1852.59,529.014,18.413,206.28300000000002
Germany,2023,709.872,424.31,1917.448,533.287,19.436,230.543
Germany,2024,754.76191075,442.003727,2006.1298178351499,544.1998377250239,20.4467788309913,244.7175635291378
